,Unnamed: 0.1,Unnamed: 0,Year,Month,Day,Hour,Minute,Second,Lat,Lon,Depth,Seismotectonic unit,Unit no.,mb,Ms,MN,ML,Mw (reported),Mw (estimated),Mw,Location Ref.,mb Ref.,Ms Ref.,MN Ref.,ML Ref.,Mw Ref. (reported),Mw Ref. (estimated),Assumed_uncertainty of Mw,1 Standard deviatoion for converted Mw,Unnamed: 27,References,Density,Cell#
106,106,7491,2007,9,13,15,47,8.0,25.44,56.07,17.0,Out of all Provinces,6,4.6,3.9,4.7,,,4.7,4.7,ISC-EHB,ISC,ISC,IRSC,,,Equation(7),,0.1481,,,10,754
107,107,7808,2008,2,2,1,44,14.0,25.58,56.21,2.1,Out of all Provinces,6,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,,10,755
108,108,8827,2009,5,7,22,44,4.4,25.36,57.07,27.5,Out of all Provinces,6,5.4,4.4,4.8,4.9,5.1,,5.1,ISC-EHB,NEIC,NEIC,IRSC,IIEES,GCMT,,0.1,,,,10,757
109,109,4122,1998,3,5,11,12,2.0,25.61,59.36,27.0,Makran,4,4.2,3.4,,,,4.2,4.2,ISC,ISC,ISC,,,,Equation(3),,0.1738,,,10,765
110,110,10545,2011,7,4,20,19,4.0,25.42,60.09,10.0,Makran,4,3.7,3.2,,,,3.6,3.6,ISC,ISC,ISC,,,,Equation(3),,0.1739,,,10,767
111,111,1873,1978,7,14,0,38,39.0,25.56,60.33,33.0,Makran,4,4.2,3.7,,,,4.2,4.2,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,768
112,112,1235,1969,6,4,16,21,32.0,25.5,61.13,19.0,Makran,4,4.7,4.4,,,,4.8,4.8,ISC,ISC,M2014,,,,Equation(3),,0.174,,,10,770
113,113,3049,1989,4,13,5,11,35.0,25.6,62.0,33.0,Makran,4,4.3,3.8,,,,4.3,4.3,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,773
114,114,2017,1979,10,25,17,37,4.0,25.56,62.32,22.0,Makran,4,4.8,4.5,,,5.2,,5.2,ISC-GEM,ISC,ISC,,,ISC-GEM,,0.2,,,,10,774
115,115,3139,1990,4,10,18,38,30.0,25.41,62.96,33.0,Makran,4,4.0,3.4,,,,4.0,4.0,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,776
116,116,14731,2016,6,1,9,8,20.0,25.33,62.93,28.0,Makran,4,,,3.6,,,3.6,3.6,IRSC,,,IRSC,,,Equation(7),,0.1489,,,10,776
117,117,2805,1987,3,2,21,51,5.0,25.56,63.24,10.0,Makran,4,4.7,4.4,,,,4.8,4.8,ISC,ISC,M2014,,,,Equation(3),,0.174,,,10,777
118,118,9754,2010,6,23,11,47,55.0,25.59,63.41,35.0,Makran,4,4.2,4.1,,,,4.2,4.2,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1738,,,10,777
119,119,629,1941,10,29,7,43,17.0,25.46,63.73,15.0,Makran,4,,,,,5.6,,5.6,ISC-GEM,,,,,ISC-GEM,,0.2,,,,10,778
120,120,5132,2002,6,3,20,17,30.0,25.5,63.5,29.0,Makran,4,4.6,4.1,,,,4.7,4.7,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1739,,,10,778
121,121,697,1949,1,2,12,50,29.0,25.38,63.9,15.0,Makran,4,,,,,6.1,,6.1,ISC-GEM,,,,,ISC-GEM,,0.51,,,,10,779
122,122,1438,1973,1,13,14,14,40.0,25.51,63.83,30.0,Makran,4,4.7,4.4,,,5.3,,5.3,ISC-EHB,ISC,ISC,,,ISC-GEM,,0.53,,,,10,779
123,123,5480,2003,8,4,4,53,40.0,25.76,44.67,18.0,Out of all Provinces,6,,,3.9,,,4.4,4.4,IRSC,,,IRSC,,,Equation(6),,0.3378,,,10,783
124,124,4902,2001,10,14,1,20,9.0,25.8,49.79,18.0,Out of all Provinces,6,,,3.7,,,4.2,4.2,IRSC,,,IRSC,,,Equation(6),,0.3383,,,10,799
125,125,8593,2009,1,16,6,32,10.0,25.88,54.38,18.1,Out of all Provinces,6,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,,10,814
126,126,11542,2012,10,4,8,28,48.0,25.77,56.33,12.0,Out of all Provinces,6,,,3.5,,,3.4,3.4,IRSC,,,IRSC,,,Equation(7),,0.1491,,,10,820
127,127,6782,2006,11,16,18,1,10.0,25.91,57.57,26.8,Makran,4,,,3.6,,,3.6,3.6,IRSC,,,IRSC,,,Equation(7),,0.1489,,,10,824
128,128,3099,1989,12,7,12,59,32.6,25.91,58.97,10.0,Makran,4,5.7,5.6,,,5.9,,5.9,ISC-EHB,NEIC,NEIC,,,GCMT,,0.2,,,,10,828
129,129,7599,2007,11,4,5,9,48.0,25.9,58.88,19.1,Makran,4,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,,10,828
130,130,8204,2008,8,11,12,54,34.0,25.9,59.59,28.1,Makran,4,4.6,3.4,4.3,3.9,,4.3,4.3,IRSC,ISC,ISC,IRSC,IIEES,,Equation(7),,0.1481,,,10,830
131,131,15307,2017,2,1,7,4,31.0,25.76,59.45,20.0,Makran,4,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,,10,830
132,132,6136,2005,11,25,2,27,29.0,25.85,60.08,10.0,Makran,4,3.9,3.5,,,,3.9,3.9,ISC,ISC,ISC,,,,Equation(3),,0.1738,,,10,832
133,133,14236,2015,11,7,15,20,24.0,25.71,61.19,10.0,Makran,4,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,,10,835
134,134,3448,1992,12,17,10,39,28.8,25.9,61.45,39.0,Makran,4,5.7,5.4,,,5.7,,5.7,ISC-EHB,NEIC,NEIC,,,GCMT,,0.2,,,,10,836
135,135,15783,2017,7,27,14,13,21.0,25.74,61.79,8.0,Makran,4,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,,10,837
