,Unnamed: 0,Year,Month,Day,Hour,Minute,Second,Lat,Lon,Depth,Seismotectonic unit,Unit no.,mb,Ms,MN,ML,Mw (reported),Mw (estimated),Mw,Location Ref.,mb Ref.,Ms Ref.,MN Ref.,ML Ref.,Mw Ref. (reported),Mw Ref. (estimated),Assumed_uncertainty of Mw,1 Standard deviatoion for converted Mw,Unnamed: 27,References
8965,3874,1996,7,16,16,46,19,32.66,47.77,15,Zagros,5,4.4,3.8,4.1,,,4.5,4.5,ISC-EHB,ISC,M2014,IRSC,,,Equation(3),,0.1738,,
8966,4859,2001,9,1,22,38,16.8,32.78,47.69,10,Zagros,5,5,4.3,4.5,,5,,5,ISC-EHB,NEIC,NEIC,IRSC,,GCMT,,0.1,,,
8967,5125,2002,5,30,20,6,40,32.65,47.7,67,Zagros,5,4,3.3,3.2,,,4,4,ISC,ISC,M2014,IRSC,,,Equation(3),,0.1738,,
8968,5477,2003,7,29,23,34,3,32.75,47.62,45,Zagros,5,4.3,3.3,3.7,,,4.3,4.3,ISC,ISC,ISC,IRSC,,,Equation(3),,0.1738,,
8969,6487,2006,6,18,2,58,10,32.69,47.77,11.3,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,
8970,7423,2007,8,17,22,46,14,32.61,47.84,7.1,Zagros,5,4.1,3.6,3.9,3.6,,3.9,3.9,IRSC,ISC,ISC,IRSC,IIEES,,Equation(7),,0.1484,,
8971,8435,2008,11,7,8,39,27,32.68,47.88,23.4,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,
8972,8551,2008,12,28,21,28,24,32.61,47.64,9.1,Zagros,5,,,3.1,,,3,3,IRSC,,,IRSC,,,Equation(7),,0.15,,
8973,8938,2009,6,29,0,4,34,32.83,47.68,4.2,Zagros,5,,,3.5,,,3.4,3.4,IRSC,,,IRSC,,,Equation(7),,0.1491,,
8974,10306,2011,3,1,12,6,46,32.88,47.66,5.5,Zagros,5,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,
8975,11223,2012,5,3,10,9,35.6,32.74,47.7,21.1,Zagros,5,5.6,5.4,5.5,,5.4,,5.4,ISC-EHB,NEIC,NEIC,IRSC,,GCMT,,0.1,,,
8976,11463,2012,8,29,12,22,57,32.85,47.73,11.2,Zagros,5,,,3.8,,,3.8,3.8,IRSC,,,IRSC,,,Equation(7),,0.1486,,
8977,11464,2012,8,30,0,22,56,32.75,47.6,15,Zagros,5,4,,,,,4,4,ISC,ISC,,,,,Equation(3),,0.1738,,
8978,12019,2013,4,18,8,32,22,32.84,47.63,15.9,Zagros,5,,,3.5,,,3.4,3.4,IRSC,,,IRSC,,,Equation(7),,0.1491,,
8979,12272,2013,8,6,7,33,36,32.89,47.68,7.2,Zagros,5,4,,3.7,,,3.7,3.7,IRSC,ISC,,IRSC,,,Equation(7),,0.1487,,
8980,12583,2013,12,28,22,56,33,32.8,47.63,15,Zagros,5,4.9,,4.7,,5.2,,5.2,ISC-EHB,ISC,,IRSC,,ISC-GEM,,0.23,,,
8981,13137,2014,8,17,11,24,16,32.72,47.7,7.5,Zagros,5,4.8,3.7,4.6,4.8,4.5,,4.5,IRSC,ISC,ISC,IRSC,IIEES,H2019,,,,,
